Country code,Country,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
AO,Angola,Yes,No,No,No,No,No,No,No,No,No,No
BN,Benin,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
BC,Botswana,Yes,No,No,No,No,No,No,No,No,No,No
UV,Burkina Faso,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
BY,Burundi,Yes,No,No,No,No,No,No,No,No,No,No
CM,Cameroon,Yes,No,No,No,No,No,No,No,No,No,No
CV,Cape Verde,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
CT,Central African Republic,Yes,No,No,No,No,No,No,No,No,No,No
CD,Chad,Yes,No,No,No,No,No,No,No,No,No,No
CN,Comores,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
IV,Cote d'Ivoire,Yes,No,No,No,No,No,No,No,No,No,No
DJ,Djibouti,Yes,No,No,No,No,No,No,No,No,No,No
CG,DRC,Yes,No,No,No,No,No,No,No,No,No,No
EK,Equatorial Guinea,Yes,No,No,No,No,No,No,No,No,No,No
ER,Eritrea,Yes,No,No,No,No,No,No,No,No,No,No
ET,Ethiopia,Yes,No,No,No,No,No,No,No,No,No,No
GB,Gabon,"Yes, implied","No, implied","No, implied",No,No,No,No,No,No,No,No
GA,Gambia,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
GH,Ghana,Yes,No,No,No,No,No,No,No,No,No,No
GV,Guinea,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
PU,Guinea-Bissau,Yes,No,No,No,No,No,No,No,No,No,No
KE,Kenya,Yes,No,No,No,No,No,No,No,No,No,No
LT,Lesotho,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
LI,Liberia,Yes,No,No,No,No,No,No,No,No,No,No
MA,Madagascar,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
MI,Malawi,Yes,No,No,No,No,No,No,No,No,No,No
ML,Mali,Yes,No,No,No,No,No,No,No,No,No,No
MR,Mauritania,"Yes, implied","No, implied","No, implied",No,No,No,No,No,No,No,No
MP,Mauritius,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
MZ,Mozambique,Yes,No,No,No,No,No,No,No,No,No,No
WA,Namibia,Yes,No,No,No,No,No,No,No,No,No,No
NG,Niger,Yes,No,No,No,No,No,No,No,No,No,No
NI,Nigeria,Yes,No,No,No,No,No,No,No,No,No,No
CF,Republic of Congo (Brazzaville),Yes,No,No,No,No,No,No,No,No,No,No
RW,Rwanda,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
TP,Sao Tome and Principe,Yes,No,No,No,No,No,No,No,No,No,No
SG,Senegal,Yes,No,No,No,No,No,No,No,No,No,No
SE,Seychelles,Yes,No,No,No,No,No,No,No,No,No,No
SL,Sierra Leone,Yes,No,No,No,No,No,No,No,No,No,No
SO,Somalia,Yes,No,No,No,No,No,No,No,No,No,No
SF,South Africa,Yes,No,No,No,No,No,No,No,No,No,No
OD,South Sudan,Yes,No,No,No,No,No,No,No,No,No,No
SU,Sudan,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
WZ,Swaziland,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available,No information available
TZ,Tanzania,Yes,No,No,No,No,No,No,No,No,No,No
TO,Togo,Yes,No,No,No,No,No,No,No,No,No,No
UG,Uganda ,Yes,No,No,No,No,No,No,No,No,No,No
ZA,Zambia,Yes,No,No,No,No,No,No,No,No,No,No
ZI,Zimbabwe,"Yes, implied","No, implied","No, implied",No,No,No,No,No,No,No,No
